Month,Positive,Neutral,Negative,Feature Title,Feature Description,Feature Type
2022-01-01,1882,176,473,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-02-01,1531,172,508,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-03-01,1733,175,454,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-04-01,1542,144,426,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-05-01,1783,182,436,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-06-01,1599,138,362,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-07-01,1501,135,398,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-08-01,1667,145,420,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-09-01,1708,156,396,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-10-01,1757,157,410,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-11-01,1525,147,422,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-12-01,1558,143,373,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-01-01,1547,150,367,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-02-01,1334,128,328,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-03-01,1471,153,378,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-04-01,1232,133,397,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-05-01,1363,157,346,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-06-01,1500,164,553,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-07-01,1549,193,488,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-08-01,1751,190,496,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-09-01,1800,209,409,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-10-01,1908,199,505,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-11-01,1930,188,442,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-12-01,2152,191,537,General Experience,Aggregated review sentiment from user feedback,Feedback
2024-01-01,1956,226,628,General Experience,Aggregated review sentiment from user feedback,Feedback
