Month,Positive,Neutral,Negative,Feature Title,Feature Description,Feature Type
1/1/2024,3092,234,1164,Improved global product navigation for Zoom desktop client,"Free account users will have greater control of the product tabs shown on the Zoom desktop client, having greater flexibility over display order and which product tabs are always visible or hidden within the More option. This will initially be available for free accounts, with users on paid accounts getting this functionality in another later release.",General features
1/1/2024,3092,234,1164,Additional MSI/PLIST/GPO/MDM options: Disable assigning manual captioning typist - DisableAssignTypist,"Disabled by default, admins can enable this policy to disable the ability for users to assign a participant the role of manually entering captions. This does not affect the use of automated captions or captions provided by a third-party service.",General features
1/1/2024,3092,234,1164,Additional MSI/PLIST/GPO/MDM options: Disable P2P STUN traffic - DisableP2PStunTraffic,"Disabled by default, admins can enable this policy to disable P2P STUN traffic from the Zoom app. This traffic is the Zoom app checking if admin web settings allow for P2P meetings on the network.",General features
1/1/2024,3092,234,1164,Screen share presenter layout,"Meeting users wanting a more engaging sharing session can utilize this new presenter layout, which combines your video and shared screen to present everything in one frame. Presenters have a few different layout options, ranging from having the content appear over-the-shoulder of your video, the presenter appearing in front of the content, or the presenter and the content appearing side-by-side. These options are available in the sharing window where users can select what they want to share, the layout of their video and the shared content, and a common virtual background for both you and the content. Admins can also control the use of this through web settings available at the account, group, and user-level settings pages.",Meeting/webinar features
1/1/2024,3092,234,1164,Automated captioning and translated caption support for Cantonese and Thai,"Automated and translated captioning support is expanding to include captioning for Cantonese and Thai languages. These are enabled by default, but admins can control the availability of this language through the Automated captions and Translated captions settings within the web portal.",Meeting/webinar features
1/1/2024,3092,234,1164,English to Greek support for translated captions,"Accounts using the translated captions feature will be able to have automated captions translated from English to Greek, facilitating easier communication between participants in Zoom Meetings. This language is enabled by default, but admins can control availability of this through settings in the web portal.",Meeting/webinar features
1/1/2024,3092,234,1164,Attach Poll to meeting or webinar instance,"If the Allow host to create meeting polls and quizzes setting is enabled by admins, users can attach polls to a meeting or webinar instance and save a copy of polls attached to a meeting or webinar to their Personal Library.",Meeting/webinar features
1/1/2024,3092,234,1164,Team Chat Quick Schedule with AI Companion,"The Team Chat Quick Schedule with AI Companion simplifies meeting scheduling in chats using AI technology, eliminating the need to switch between different applications to coordinate and schedule a meeting. When activated, the system identifies potential meeting scenarios in chat messages and streamlines the scheduling process to boost productivity.",Team Chat features
1/1/2024,3092,234,1164,Restrict channel posting to replies only,"In addition to restricting who can post in a channel, channel admins can choose to allow all other channel members to post, but only as a reply to a message. This provides announcement channels with only threaded replies, keeping discussions focused on the announcements provided by approved posters.",Team Chat features
1/1/2024,3092,234,1164,Drafts and sent messages panel,"The Drafts section in the left side panel for Team Chat will be renamed to Drafts and Sent and include a dedicated section for Sent Messages, helping users quickly find messages they sent.",Team Chat features
